pc_code,pc_description,country_code,country_name,value
P7,Cotton Yarn,1213,Kenya,12.0
P7,Cotton Yarn,1395,Tanzania Rep,0.0
P7,Cotton Yarn,1417,Uganda,2.0
P7,Cotton Yarn,2057,Cameroon,5.0
P7,Cotton Yarn,2141,Gabon,0.0
P7,Cotton Yarn,2199,Cote D' Ivoire,116.0
P7,Cotton Yarn,2241,Madagascar,344.0
P7,Cotton Yarn,2255,Mauritania,7.0
P7,Cotton Yarn,2257,Mauritius,1334.0
P7,Cotton Yarn,2459,Congo D. Rep.,0.0
P7,Cotton Yarn,3011,Angola,0.0
P7,Cotton Yarn,3041,Botswana,3.0
P7,Cotton Yarn,3102,Djibouti,11.0
P7,Cotton Yarn,3115,Ethiopia,41.0
P7,Cotton Yarn,3149,Ghana,14.0
P7,Cotton Yarn,3243,Malawi,13.0
P7,Cotton Yarn,3267,Mozambique,37.0
P7,Cotton Yarn,3291,Nigeria,18.0
P7,Cotton Yarn,3339,Reunion,0.0
P7,Cotton Yarn,3355,Seychelles,0.0
P7,Cotton Yarn,3357,Sierra Leone,0.0
P7,Cotton Yarn,3385,Swaziland,2.0
P7,Cotton Yarn,3461,Zambia,3.0
P7,Cotton Yarn,4005,Algeria,115.0
P7,Cotton Yarn,4111,Egypt A Rp,6395.0
P7,Cotton Yarn,4265,Morocco,944.0
P7,Cotton Yarn,4365,South Africa,199.0
P7,Cotton Yarn,4381,Sudan,41.0
P7,Cotton Yarn,4407,Tunisia,701.0
P7,Cotton Yarn,4463,Zimbabwe,1.0
P7,Cotton Yarn,5059,Canada,93.0
P7,Cotton Yarn,5423,U S A,836.0
P7,Cotton Yarn,6015,Argentina,269.0
P7,Cotton Yarn,6039,Bolivia,8.0
P7,Cotton Yarn,6043,Brazil,973.0
P7,Cotton Yarn,6073,Chile,503.0
P7,Cotton Yarn,6083,Colombia,3021.0
P7,Cotton Yarn,6109,Ecuador,128.0
P7,Cotton Yarn,6317,Paraguay,69.0
P7,Cotton Yarn,6319,Peru,4813.0
P7,Cotton Yarn,6427,Uruguay,5.0
P7,Cotton Yarn,6433,Venezuela,11.0
P7,Cotton Yarn,7105,Dominica,7.0
P7,Cotton Yarn,7405,Trinidad,0.0
P7,Cotton Yarn,8091,Costa Rica,2.0
P7,Cotton Yarn,8113,El Salvador,5.0
P7,Cotton Yarn,8165,Guatemala,776.0
P7,Cotton Yarn,8177,Honduras,204.0
P7,Cotton Yarn,9093,Cuba,13.0
P7,Cotton Yarn,9103,Dominic Rep,363.0
