pc_code,pc_description,country_code,country_name,value
P7,Cotton Yarn,1213,Kenya,29.0
P7,Cotton Yarn,1395,Tanzania Rep,0.0
P7,Cotton Yarn,1417,Uganda,1.0
P7,Cotton Yarn,2057,Cameroon,5.0
P7,Cotton Yarn,2199,Cote D' Ivoire,70.0
P7,Cotton Yarn,2241,Madagascar,266.0
P7,Cotton Yarn,2257,Mauritius,1133.0
P7,Cotton Yarn,3041,Botswana,8.0
P7,Cotton Yarn,3102,Djibouti,12.0
P7,Cotton Yarn,3115,Ethiopia,36.0
P7,Cotton Yarn,3116,Eritrea,5.0
P7,Cotton Yarn,3243,Malawi,0.0
P7,Cotton Yarn,3267,Mozambique,9.0
P7,Cotton Yarn,3291,Nigeria,20.0
P7,Cotton Yarn,3461,Zambia,3.0
P7,Cotton Yarn,4005,Algeria,154.0
P7,Cotton Yarn,4111,Egypt A Rp,7008.0
P7,Cotton Yarn,4265,Morocco,918.0
P7,Cotton Yarn,4365,South Africa,152.0
P7,Cotton Yarn,4381,Sudan,29.0
P7,Cotton Yarn,4407,Tunisia,520.0
P7,Cotton Yarn,4463,Zimbabwe,1.0
P7,Cotton Yarn,5059,Canada,87.0
P7,Cotton Yarn,5423,U S A,628.0
P7,Cotton Yarn,6015,Argentina,245.0
P7,Cotton Yarn,6039,Bolivia,7.0
P7,Cotton Yarn,6043,Brazil,219.0
P7,Cotton Yarn,6073,Chile,390.0
P7,Cotton Yarn,6083,Colombia,2951.0
P7,Cotton Yarn,6109,Ecuador,120.0
P7,Cotton Yarn,6317,Paraguay,77.0
P7,Cotton Yarn,6319,Peru,3693.0
P7,Cotton Yarn,6427,Uruguay,3.0
P7,Cotton Yarn,6433,Venezuela,79.0
P7,Cotton Yarn,7105,Dominica,0.0
P7,Cotton Yarn,7171,Guyana,0.0
P7,Cotton Yarn,8091,Costa Rica,3.0
P7,Cotton Yarn,8113,El Salvador,22.0
P7,Cotton Yarn,8165,Guatemala,856.0
P7,Cotton Yarn,8177,Honduras,185.0
P7,Cotton Yarn,9093,Cuba,15.0
P7,Cotton Yarn,9103,Dominic Rep,375.0
P7,Cotton Yarn,9161,Guadeloupe,0.0
P7,Cotton Yarn,9253,Martinique,0.0
P7,Cotton Yarn,9259,Mexico,184.0
P7,Cotton Yarn,9311,Panama Republic,34.0
P7,Cotton Yarn,10001,Afghanistan,0.0
P7,Cotton Yarn,10017,Australia,69.0
P7,Cotton Yarn,10027,Bangladesh Pr,24386.0
P7,Cotton Yarn,10038,Bhutan,0.0
P7,Cotton Yarn,10056,Cambodia,136.0
P7,Cotton Yarn,10077,China P Rp,62893.0
P7,Cotton Yarn,10127,Fiji Is,0.0
P7,Cotton Yarn,10179,Hong Kong,2093.0
P7,Cotton Yarn,10187,Indonesia,1530.0
P7,Cotton Yarn,10189,Iran,1254.0
P7,Cotton Yarn,10205,Japan,1953.0
P7,Cotton Yarn,10217,Korea Rp,4595.0
P7,Cotton Yarn,10245,Malaysia,1020.0
P7,Cotton Yarn,10258,Myanmar,1741.0
P7,Cotton Yarn,10273,Nepal,366.0
P7,Cotton Yarn,10285,New Zealand,7.0
P7,Cotton Yarn,10309,Pakistan Ir,5618.0
P7,Cotton Yarn,10323,Philippines,790.0
P7,Cotton Yarn,10359,Singapore,48.0
P7,Cotton Yarn,10369,Sri Lanka Dsr,3138.0
P7,Cotton Yarn,10397,Thailand,945.0
P7,Cotton Yarn,10437,Vietnam Soc Rep,2995.0
P7,Cotton Yarn,11025,Baharain Is,394.0
P7,Cotton Yarn,11191,Iraq,0.0
P7,Cotton Yarn,11207,Jordan,224.0
