pc_code,pc_description,country_code,country_name,value
P7,Cotton Yarn,1213,Kenya,0.256181
P7,Cotton Yarn,1395,Tanzania Rep,0.000436
P7,Cotton Yarn,1417,Uganda,0.035657
P7,Cotton Yarn,2057,Cameroon,0.111696
P7,Cotton Yarn,2141,Gabon,3.6e-05
P7,Cotton Yarn,2199,Cote D' Ivoire,2.422113
P7,Cotton Yarn,2241,Madagascar,7.158104
P7,Cotton Yarn,2255,Mauritania,0.153668
P7,Cotton Yarn,2257,Mauritius,27.753479
P7,Cotton Yarn,2459,Congo D. Rep.,1.8e-05
P7,Cotton Yarn,3011,Angola,8e-06
P7,Cotton Yarn,3041,Botswana,0.064894
P7,Cotton Yarn,3102,Djibouti,0.235062
P7,Cotton Yarn,3115,Ethiopia,0.85241
P7,Cotton Yarn,3149,Ghana,0.287367
P7,Cotton Yarn,3243,Malawi,0.273431
P7,Cotton Yarn,3267,Mozambique,0.77805
P7,Cotton Yarn,3291,Nigeria,0.370894
P7,Cotton Yarn,3339,Reunion,0.000669
P7,Cotton Yarn,3355,Seychelles,0.000134
P7,Cotton Yarn,3357,Sierra Leone,2.6e-05
P7,Cotton Yarn,3385,Swaziland,0.048857
P7,Cotton Yarn,3461,Zambia,0.060283
P7,Cotton Yarn,4005,Algeria,2.3825
P7,Cotton Yarn,4111,Egypt A Rp,133.060186
P7,Cotton Yarn,4265,Morocco,19.645601
P7,Cotton Yarn,4365,South Africa,4.143788
P7,Cotton Yarn,4381,Sudan,0.853688
P7,Cotton Yarn,4407,Tunisia,14.584454
P7,Cotton Yarn,4463,Zimbabwe,0.025683
P7,Cotton Yarn,5059,Canada,1.938214
P7,Cotton Yarn,5423,U S A,17.399287
P7,Cotton Yarn,6015,Argentina,5.586997
P7,Cotton Yarn,6039,Bolivia,0.171584
P7,Cotton Yarn,6043,Brazil,20.244765
P7,Cotton Yarn,6073,Chile,10.457929
P7,Cotton Yarn,6083,Colombia,62.849841
P7,Cotton Yarn,6109,Ecuador,2.662393
P7,Cotton Yarn,6317,Paraguay,1.434531
P7,Cotton Yarn,6319,Peru,100.148785
P7,Cotton Yarn,6427,Uruguay,0.100161
P7,Cotton Yarn,6433,Venezuela,0.222443
P7,Cotton Yarn,7105,Dominica,0.140834
P7,Cotton Yarn,7405,Trinidad,8.9e-05
P7,Cotton Yarn,8091,Costa Rica,0.03172
P7,Cotton Yarn,8113,El Salvador,0.109522
P7,Cotton Yarn,8165,Guatemala,16.137113
P7,Cotton Yarn,8177,Honduras,4.234698
P7,Cotton Yarn,9093,Cuba,0.269446
P7,Cotton Yarn,9103,Dominic Rep,7.554495
P7,Cotton Yarn,9161,Guadeloupe,4.8e-05
P7,Cotton Yarn,9259,Mexico,3.510206
P7,Cotton Yarn,9277,Netherlandantil,0.002129
P7,Cotton Yarn,9311,Panama Republic,0.166767
P7,Cotton Yarn,9331,Puerto Rico,0.078358
P7,Cotton Yarn,10001,Afghanistan,0.006535
P7,Cotton Yarn,10017,Australia,1.91277
P7,Cotton Yarn,10027,Bangladesh Pr,594.295081
P7,Cotton Yarn,10056,Cambodia,1.338471
P7,Cotton Yarn,10077,China P Rp,1049.954448
P7,Cotton Yarn,10127,Fiji Is,0.000302
P7,Cotton Yarn,10179,Hong Kong,68.789885
P7,Cotton Yarn,10187,Indonesia,24.885998
P7,Cotton Yarn,10189,Iran,31.488764
P7,Cotton Yarn,10205,Japan,41.287195
P7,Cotton Yarn,10217,Korea Rp,109.625051
P7,Cotton Yarn,10245,Malaysia,20.58368
P7,Cotton Yarn,10258,Myanmar,37.573123
P7,Cotton Yarn,10261,Mongolia,0.012423
P7,Cotton Yarn,10273,Nepal,10.15816
P7,Cotton Yarn,10285,New Zealand,0.098853
P7,Cotton Yarn,10309,Pakistan Ir,214.937511
P7,Cotton Yarn,10323,Philippines,19.976762
P7,Cotton Yarn,10359,Singapore,0.248894
P7,Cotton Yarn,10369,Sri Lanka Dsr,70.845517
P7,Cotton Yarn,10397,Thailand,32.336248
P7,Cotton Yarn,10437,Vietnam Soc Rep,76.719652
P7,Cotton Yarn,11025,Baharain Is,7.70521
P7,Cotton Yarn,11207,Jordan,4.001295
P7,Cotton Yarn,11219,Kuwait,0.067807
P7,Cotton Yarn,11225,Lebanon,1.543845
P7,Cotton Yarn,11301,Oman,0.796264
P7,Cotton Yarn,11335,Qatar,0.021164
P7,Cotton Yarn,11351,Saudi Arab,0.20144
P7,Cotton Yarn,11391,Syria,2.687631
P7,Cotton Yarn,11419,U Arab Emts,5.824409
P7,Cotton Yarn,12075,Taiwan,30.328424
P7,Cotton Yarn,12195,Israel,3.44348
P7,Cotton Yarn,12215,Korea Dp Rp,5.299051
P7,Cotton Yarn,12239,Macao,0.073927
P7,Cotton Yarn,12247,Maldives,0.000123
P7,Cotton Yarn,13019,Austria,3.509744
P7,Cotton Yarn,13033,Belgium,14.2752
P7,Cotton Yarn,13101,Denmark,5.135128
P7,Cotton Yarn,13129,France,1.523294
P7,Cotton Yarn,13147,Germany,64.292917
P7,Cotton Yarn,13155,Greece,3.430814
P7,Cotton Yarn,13193,Ireland,2.3e-05
P7,Cotton Yarn,13197,Italy,54.145039
P7,Cotton Yarn,13275,Netherland,4.30002
P7,Cotton Yarn,13327,Portugal,126.828288
P7,Cotton Yarn,13367,Spain,23.950361
P7,Cotton Yarn,13387,Sweden,0.05054
P7,Cotton Yarn,13421,U K,2.852705
P7,Cotton Yarn,14297,Norway,0.278689
P7,Cotton Yarn,14389,Switzerland,0.338619
P7,Cotton Yarn,15049,Bulgaria,1.882354
P7,Cotton Yarn,15055,Belarus,0.000158
P7,Cotton Yarn,15092,Croatia,3.441151
P7,Cotton Yarn,15098,Czech Republic,7.212081
P7,Cotton Yarn,15114,Estonia,0.376482
P7,Cotton Yarn,15181,Hungary,0.066979
P7,Cotton Yarn,15212,Kazakhstan,0.000434
P7,Cotton Yarn,15224,Latvia,0.711628
P7,Cotton Yarn,15234,Lithuania,1.234352
P7,Cotton Yarn,15240,Macedonia,0.300825
P7,Cotton Yarn,15325,Poland,32.483908
P7,Cotton Yarn,15343,Romania,0.172499
P7,Cotton Yarn,15344,Russia,2.613735
P7,Cotton Yarn,15352,Serbia,0.566541
P7,Cotton Yarn,15356,Montenegro,1.3677
P7,Cotton Yarn,15358,Slovak Rep,0.0583
P7,Cotton Yarn,15360,Slovenia,1.202168
P7,Cotton Yarn,15422,Ukraine,6.331851
P7,Cotton Yarn,16095,Cyprus,0.200663
P7,Cotton Yarn,16409,Turkey,44.434724
P8,"Cotton Fabrics, Madeups Etc.",1213,Kenya,19.161382
P8,"Cotton Fabrics, Madeups Etc.",1395,Tanzania Rep,23.348261
P8,"Cotton Fabrics, Madeups Etc.",1417,Uganda,6.675207
P8,"Cotton Fabrics, Madeups Etc.",2035,Benin,30.505307
P8,"Cotton Fabrics, Madeups Etc.",2050,Burkina Faso,2.447361
P8,"Cotton Fabrics, Madeups Etc.",2057,Cameroon,1.034854
P8,"Cotton Fabrics, Madeups Etc.",2067,C Afri Rep,0.022508
P8,"Cotton Fabrics, Madeups Etc.",2069,Chad,0.203963
P8,"Cotton Fabrics, Madeups Etc.",2087,Congo P Rep,4.158664
P8,"Cotton Fabrics, Madeups Etc.",2141,Gabon,1.391781
P8,"Cotton Fabrics, Madeups Etc.",2199,Cote D' Ivoire,2.295019
P8,"Cotton Fabrics, Madeups Etc.",2241,Madagascar,9.713553
P8,"Cotton Fabrics, Madeups Etc.",2255,Mauritania,18.255035
P8,"Cotton Fabrics, Madeups Etc.",2257,Mauritius,11.219978
P8,"Cotton Fabrics, Madeups Etc.",2289,Niger,5.001347
P8,"Cotton Fabrics, Madeups Etc.",2345,Rwanda,0.297679
P8,"Cotton Fabrics, Madeups Etc.",2353,Senegal,88.79603
P8,"Cotton Fabrics, Madeups Etc.",2399,Togo,43.653924
P8,"Cotton Fabrics, Madeups Etc.",2459,Congo D. Rep.,11.079474
P8,"Cotton Fabrics, Madeups Etc.",3011,Angola,11.561228
P8,"Cotton Fabrics, Madeups Etc.",3041,Botswana,0.156707
P8,"Cotton Fabrics, Madeups Etc.",3053,Burundi,2.871007
P8,"Cotton Fabrics, Madeups Etc.",3085,Comoros,3.35601
P8,"Cotton Fabrics, Madeups Etc.",3102,Djibouti,1.4897
